id,name,alias,rating,review_count
4OsDhJHURGqfw1_22Gslgg,La Terrazza,la-terrazza-roma-4,4.9,32
O-PwNezcRXYyx2xiu9qVHQ,Bottega Rocchi,bottega-rocchi-roma,4.8,5
N1s7kKRwvSIkyuS-xbdwUA,Il Giardino Ristorante,il-giardino-ristorante-roma-2,4.7,23
-i5sf6JOXkYY6BhtO2EMMw,Cantina dei Papi,cantina-dei-papi-roma,4.7,566
dDaMYkgOett1PVEq-qk6Zg,I Monticiani,i-monticiani-roma,4.7,31
ehrW9keNRzswszJh7_nszw,La Tavernaccia,la-tavernaccia-roma,4.6,81
7wVeQWsPlNG5RSTB6PipPw,Mama Pasta,mama-pasta-roma,4.6,24
rLaPNO6TLGJLONJjUPhjSg,Al Forno della Soffitta,al-forno-della-soffitta-roma-2,4.6,283
CUtvD9xZr-1AtJPUVWKvHQ,La Vecchia Locanda,la-vecchia-locanda-roma,4.6,193
pkgC2-eY81GKNAEuaxGPPw,La Boccaccia,la-boccaccia-roma-2,4.6,85
-8Q7NhCtyf60fSkQqJxCHA,La Prezzemolina,la-prezzemolina-roma,4.8,55
XIFsSRePunnS_vb5IPFMTA,Supplì,supplì-roma,4.7,105
lenzYIvN2Dk06boef6dfgg,44 Osteria Quarantaquattro,44-osteria-quarantaquattro-roma,4.5,498
H_8u0Z_Sezap0QqcnZe_9g,I Buoni Amici,i-buoni-amici-roma-2,4.5,90
j-giVdvEJFJgdjKQVWDhSw,Cantina e Cucina,cantina-e-cucina-roma,4.5,763
alzlKGqlBbfz3-U1dJfIJg,Sapori e Delizie,sapori-e-delizie-roma-2,4.5,881
tV6ihDwj5Q7bjbkTl41-UQ,Alle Fratte di Trastevere,alle-fratte-di-trastevere-roma,4.4,128
7UsoWq0bbT2Re-BJ6AI46w,Sofia,sofia-roma,4.4,164
FMhLlh_SNYigWgRdUHw6lA,Moma,moma-roma-2,4.4,52
MyZDumiV4-HA8EQxw9z7XA,La Tavernetta 48,la-tavernetta-48-roma,4.4,267
nikZDhEd3Zok81F_MPmzfg,Fuorinorma,fuorinorma-roma,4.8,27
Cs2FF_Eb-DvGS0WUW2m8Tw,Scilla e Cariddi,scilla-e-cariddi-roma-2,4.7,12
SjZIdPDnm0W4LmnHEW6zXg,Osteria Barberini,osteria-barberini-roma,4.5,323
oHPziW318-XSF_fvkM9nqQ,Babette,babette-roma,4.5,80
a2RXf4VnQC-LsNERUf-bUw,Ai Tre Scalini,ai-tre-scalini-roma,4.4,476
parzIECQTEGS7NIQoXUwrw,Colline Emiliane,colline-emiliane-roma,4.4,129
p2LvL-iayqLxNZGu15HLHA,Piccolo Buco,piccolo-buco-roma,4.4,266
QBTvje0npf7qo7M93bK0ow,Life,life-roma,4.3,268
k0rJEFfe6skkiIA6rgDbjQ,Osteria del Sostegno,osteria-del-sostegno-roma,4.3,123
qJ2yL1sLrWtW7xvsLX3-sA,Ristorante Julie’s,ristorante-julies-roma,4.3,57
oVoj_A1FExfvI_7UbAdQgQ,Pane e Salame,pane-e-salame-roma-2,4.9,340
913ZaqO7F7sZJjasGhXvaQ,Pinsere,pinsere-roma,4.7,248
xr7vSjjCimwA9lixkAh2fA,Il Ragno d’Oro,il-ragno-d-oro-roma,4.6,85
scgJwUnCA87cd757-koCnw,Trapizzino - Testaccio,trapizzino-testaccio-roma-2,4.4,89
l_eVnablGcsK3JZ2y-vr5Q,Da Enzo al 29,da-enzo-al-29-roma-2,4.4,482
GENlSfz57s4fdukjTq31KA,Trattoria Giovanni di Valentino,trattoria-giovanni-di-valentino-roma,4.3,26
wCu21SyAnPWc65ZwtQuLaw,Normale,normale-roma,4.3,12
xgtrN9GUVCIiWuFOpf7wWg,Il Chianti,il-chianti-roma,4.3,300
H45LZXoKprl3-_fkOoMkGg,Retrobottega,retrobottega-roma,4.3,39
SjQ3llg18UaJuQddi0nxKQ,Il Bocconcino,il-bocconcino-roma-2,4.3,93
93hYwSDA6hpCqeZUXW2m2g,Taverna Lucifero,taverna-lucifero-roma,4.8,70
6fKmK5pAGCgZBnP_HBH_Eg,Two Sizes,two-sizes-roma,4.8,182
octth9x6lTlKxiyRxmErcg,Le Tavernelle,le-tavernelle-roma,4.6,152
npxRjMtNY8t5BRD3WGMwgQ,Sette Oche,sette-oche-roma-2,4.4,180
Ke4mCauu9WCXpkCAzfv-Pg,Brunello,brunello-roma,4.4,10
w2D3hmHQcKO6wfydYLAb8g,La Pergola,la-pergola-roma,4.4,90
HCEvMaPzKioEsis74-AmtQ,Antica Boheme,antica-boheme-roma,4.3,80
BDRmQbb9ptRCoqv6bkPHcw,La Cicala e La Formica,la-cicala-e-la-formica-roma,4.3,56
MtnKUDm2a9PckD_qnEAE5w,Roscioli,roscioli-roma-4,4.3,463
t7EJ2_aSil1ZUMjBqF0oAQ,Diadema,diadema-roma,4.3,48
CZXe6TRErDZ63v3vayujNQ,Culinaria,culinaria-roma,4.7,56
zkzU1Vgh5uz6ZxFAXkOtzg,The Library Bistrot,the-library-bistrot-roma,4.5,24
tg-OczI-ASlUsWmnlGcGBw,Ambrosia Rooftop Restaurant & Bar,ambrosia-rooftop-restaurant-e-bar-roma-3,4.4,71
oNh0ac3ZmZ-NNYSAjbvspw,Trattoria Cecio,trattoria-cecio-roma,4.4,71
q_Ggxi5VjHSdXSEIlTPI2A,Pasta e Vino,pasta-e-vino-roma,4.4,33
79yyFvYulKGGCPUx0GBCLQ,Nannarella,nannarella-roma,4.4,149
QHyaV-YqmZILaHNFYsaxPA,Iari The Vino,iari-the-vino-roma,4.4,116
ZNblRQo_yASzVkRPgN7y_A,Edy,edy-roma,4.4,54
NOHvG4ipWNsC8AN8nZ5fnA,Rifugio Romano,rifugio-romano-roma,4.3,198
yhkCHMLN4MKLOo1GavN7mg,Zero Settenta Cinque,zero-settenta-cinque-roma,5,2
